text_id, feature_id, text_type, text_order, text_text
20,3,999,1,"Immediately after you take the Attack action on your turn, you can spend 1 ki point to make two unarmed strikes as a bonus action.#P#"
21,4,2,0,"Patient Defense"
22,4,999,1,"You can spend 1 ki point to take the Dodge action as a bonus action on your turn.#P#"
23,5,2,0,"Step of the Wind"
24,5,999,1,"You can spend 1 ki point to take the Disengage or Dash action as a bonus action on your turn, and your jump distance is doubled for the turn.#P#"
25,6,1,0,"Unarmored Movement"
26,6,999,1,"Starting at 2nd level, your speed increases by 10 feet while you are not wearing armor or wielding a shield. This bonus increases when you reach certain monk levels, as shown in the Monk table.#P#"
27,6,999,2,"At 9th level, you gain the ability to move along vertical surfaces and across liquids on your turn without falling during the move.#P#"
28,7,1,0,"Monastic Tradition"
29,7,999,1,"When you reach 3rd level, you commit yourself to a monastic tradition, such as the Way of the Open Hand. Your tradition grants you features at 3rd level and again at 6th, 11th, and 17th level.#P#"
30,8,1,0,"Deflect Missiles"
31,8,999,1,"Starting at 3rd level, you can use your reaction to deflect or catch the missile when you are hit by a ranged weapon attack. When you do so, the damage you take from the attack is reduced by 1d10 + your Dexterity modifier + your monk level.#P#"
32,8,999,2,"If you reduce the damage to 0, you can catch the missile if it is small enough for you to hold in one hand and you have at least one hand free. If you catch a missile in this way, you can spend 1 ki point to make a ranged attack with the weapon or piece of ammunition you just caught, as part of the same reaction. You make this attack with proficiency, regardless of your weapon proficiencies, and the missile counts as a monk weapon for the attack, which has a normal range of 20 feet and a long range of 60 feet.#P#"
33,9,1,0,"Ability Score Improvement"
34,9,999,1,"When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.#P#"
35,10,1,0,"Slow Fall"
36,10,999,1,"Beginning at 4th level, you can use your reaction when you fall to reduce any falling damage you take by an amount equal to five times your monk level.#P#"
37,11,1,0,"Extra Attack"
38,11,999,1,"Beginning at 5th level, you can attack twice, instead of once, whenever you take the Attack action on your turn.#P#"
39,12,1,0,"Stunning Strike"
40,12,999,1,"Starting at 5th level, you can interfere with the flow of ki in an opponent's body. When you hit another creature with a melee weapon attack, you can spend 1 ki point to attempt a stunning strike. The target must succeed on a Constitution saving throw or be stunned until the end of your next turn.#P#"
41,13,1,0,"Ki-Empowered Strikes"
42,13,999,1,"Starting at 6th level, your unarmed strikes count as magical for the purpose of overcoming resistance and immunity to nonmagical attacks and damage.#P#"
43,14,1,0,"Evasion"
44,14,999,1,"At 7th level, your instinctive agility lets you dodge out of the way of certain area effects, such as a blue dragon's lightning breath or a fireball spell. When you are subjected to an effect that allows you to make a Dexterity saving throw to take only half damage, you instead take no damage if you succeed on the saving throw, and only half damage if you fail.#P#"
45,15,1,0,"Stillness of Mind"
46,15,999,1,"Starting at 7th level, you can use your action to end one effect on yourself that is causing you to be charmed or frightened.#P#"
47,16,1,0,"Purity of Body"
48,16,999,1,"At 10th level, your mastery of the ki flowing through you makes you immune to disease and poison.#P#"
49,17,1,0,"Tongue of the Sun and Moon"
50,17,999,1,"Starting at 13th level, you learn to touch the ki of other minds so that you understand all spoken languages. Moreover, any creature that can understand a language can understand what you say.#P#"
51,18,1,0,"Diamond Soul"
52,18,999,1,"Beginning at 14th level, your mastery of ki grants you proficiency in all saving throws.#P#"
53,18,999,2,"Additionally, whenever you make a saving throw and fail, you can spend 1 ki point to reroll it and take the second result.#P#"
54,19,1,0,"Timeless Body"
55,19,999,1,"At 15th level, your ki sustains you so that you suffer none of the frailty of old age, and you can't be aged magically. You can still die of old age, however. In addition, you no longer need food or water.#P#"
56,20,1,0,"Empty Body"
57,20,999,1,"Beginning at 18th level, you can use your action to spend 4 ki points to become invisible for 1 minute."
58,20,999,2,"During that time, you also have resistance to all damage but force damage.#P#"
59,20,999,3,"Additionally, you can spend 8 ki points to cast the astral projection spell, without needing material components. When you do so, you can't take any other creatures with you.#P#"
60,21,1,0,"Perfect Self"
61,21,999,1,"At 20th level, when you roll for initiative and have no ki points remaining, you regain 4 ki points.#P#"
62,22,1,0,"Way of the Open Hand"
63,22,999,1,"Monks of the Way of the Open Hand are the ultimate masters of martial arts combat, whether armed or unarmed. They learn techniques to push and trip their opponents, manipulate ki to heal damage to their bodies, and practice advanced meditation that can protect them from harm.#P#"
64,23,2,0,"Open Hand Technique"
65,23,999,1,"Starting when you choose this tradition at 3rd level, you can manipulate your enemy's ki when you harness your own. Whenever you hit a creature with one of the attacks granted by your Flurry of Blows, you can impose one of the following effects on that target:#P#"
66,23,0,2,"It must succeed on a Dexterity saving throw or be knocked prone."
67,23,0,3,"It must make a Strength saving throw. If it fails, you can push it up to 15 feet away from you."
68,23,0,4,"It can't take reactions until the end of your next turn."
69,24,2,0,"Wholeness of Body"
70,24,999,1,"At 6th level, you gain the ability to heal yourself. As an action, you can regain hit points equal to three times your monk level. You must finish a long rest before you can use this feature again.#P#"
71,25,2,0,"Tranquility"
72,25,999,1,"Beginning at 11th level, you can enter a special meditation that surrounds you with an aura of peace."
73,25,999,2,"At the end of a long rest, you gain the effect of a sanctuary spell that lasts until the start of your next long rest (the spell can end early as normal). The saving throw DC for the spell equals 8 + your Wisdom modifier + your proficiency bonus.#P#"
74,26,2,0,"Quivering Palm"
75,26,999,1,"At 17th level, you gain the ability to set up lethal vibrations in someone's body. When you hit a creature with an unarmed strike, you can spend 3 ki points to start these imperceptible vibrations, which last for a number of days equal to your monk level."
76,26,999,2,"The vibrations are harmless unless you use your action to end them. To do so, you and the target must be on the same plane of existence. When you use this action, the creature must make a Constitution saving throw. If it fails, it is reduced to 0 hit points. If it succeeds, it takes 10d10 necrotic damage.#P#"
77,26,999,3,"You can have only one creature under the effect of this feature at a time. You can choose to end the vibrations harmlessly without using an action.#P#"
