text_id, feature_id, text_type, text_order, text_text
32,7,3,12,"Your game statistics are replaced by the statistics of the beast, but you retain your alignment, personality, and Intelligence, Wisdom, and Charisma scores. You also retain all of your skill and saving throw proficiencies, in addition to gaining those of the creature. If the creature has the same proficiency as you and the bonus in its stat block is higher than yours, use the creature's bonus instead of yours. If the creature has any legendary or lair actions, you can't use them."
33,7,3,13,"When you transform, you assume the beast's hit points and Hit Dice. When you revert to your normal form, you return to the number of hit points you had before you transformed. However, if you revert as a result of dropping to 0 hit points, any excess damage carries over to your normal form. For example, if you take 10 damage in animal form and have only 1 hit point left, you revert and take 9 damage. As long as the excess damage doesn't reduce your normal form to 0 hit points, you aren't knocked unconscious."
34,7,3,14,"You can't cast spells, and your ability to speak or take any action that requires hands is limited to the capabilities of your beast form. Transforming doesn't break your concentration on a spell you've already cast, however, or prevent you from taking actions that are part of a spell, such as call lightning, that you've already cast."
35,7,3,15,"You retain the benefit of any features from your class, race, or other source and can use them if the new form is physically capable of doing so. However, you can't use any of your special senses, such as darkvision, unless your new form also has that sense."
36,7,3,16,"You choose whether your equipment falls to the ground in your space, merges into your new form, or is worn by it. Worn equipment functions as normal, but the GM decides whether it is practical for the new form to wear a piece of equipment, based on the creature's shape and size. Your equipment doesn't change size or shape to match the new form, and any equipment that the new form can't wear must either fall to the ground or merge with it. Equipment that merges with the form has no effect until you leave the form."
37,8,1,0,"Druid Circle"
38,8,0,1,"At 2nd level, you choose to identify with a circle of druids, such as the Circle of the Land. Your choice grants you features at 2nd level and again at 6th, 10th, and 14th level.#P#"
39,9,1,0,"Ability Score Improvement"
40,9,0,1,"When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.#P#"
41,10,1,0,"Timeless Body"
42,10,0,1,"Starting at 18th level, the primal magic that you wield causes you to age more slowly. For every 10 years that pass, your body ages only 1 year."
43,11,1,0,"Beast Spells"
44,11,0,1,"Beginning at 18th level, you can cast many of your druid spells in any shape you assume using Wild Shape. You can perform the somatic and verbal components of a druid spell while in a beast shape, but you aren't able to provide material components.#P#"
45,12,1,0,"Archdruid"
46,12,0,1,"At 20th level, you can use your Wild Shape an unlimited number of times.#P#"
47,12,0,2,"Additionally, you can ignore the verbal and somatic components of your druid spells, as well as any material components that lack a cost and aren't consumed by a spell. You gain this benefit in both your normal shape and your beast shape from Wild Shape.#P#"
48,13,1,0,"Circle of the Land"
49,13,0,1,"The Circle of the Land is made up of mystics and sages who safeguard ancient knowledge and rites through a vast oral tradition. These druids meet within sacred circles of trees or standing stones to whisper primal secrets in Druidic. The circle's wisest members preside as the chief priests of communities that hold to the Old Faith and serve as advisors to the rulers of those folk. As a member of this circle, your magic is influenced by the land where you were initiated into the circle's mysterious rites.#P#"
50,14,2,0,"Bonus Cantrip"
51,14,0,1,"When you choose this circle at 2nd level, you learn one additional druid cantrip of your choice.#P#"
52,15,2,0,"Natural Recovery"
53,15,0,1,"Starting at 2nd level, you can regain some of your magical energy by sitting in meditation and communing with nature. During a short rest, you choose expended spell slots to recover. The spell slots can have a combined level that is equal to or less than half your druid level (rounded up), and none of the slots can be 6th level or higher. You can't use this feature again until you finish a long rest.#P#"
54,15,0,2,"For example, when you are a 4th-level druid, you can recover up to two levels worth of spell slots. You can recover either a 2nd-level slot or two 1st-level slots.#P#"
55,16,2,0,"Circle Spells"
56,16,0,1,"Your mystical connection to the land infuses you with the ability to cast certain spells. At 3rd, 5th, 7th, and 9th level you gain access to circle spells connected to the land where you became a druid."
57,16,0,2,"Choose that land-arctic, coast, desert, forest, grassland, mountain, or swamp-and consult the associated list of spells.#P#"
58,16,0,3,"Once you gain access to a circle spell, you always have it prepared, and it doesn't count against the number of spells you can prepare each day. If you gain access to a spell that doesn't appear on the druid spell list, the spell is nonetheless a druid spell for you.#P#"
59,16,4,4,"Arctic"
60,16,5,5,"Druid Level_::_Circle Spells"
61,16,6,6,"3rd_::_hold person, spike growth"
62,16,6,7,"5th_::_sleet storm, slow"
63,16,6,8,"7th_::_freedom of movement, ice storm"
64,16,6,9,"9th_::_commune with nature, cone of cold"
65,16,4,10,"Coast"
66,16,5,11,"Druid Level_::_Circle Spells"
67,16,6,12,"3rd_::_mirror image, misty step"
68,16,6,13,"5th_::_water breathing, water walk"
69,16,6,14,"7th_::_control water, freedom of movement"
70,16,6,15,"9th_::_conjure elemental, scrying"
71,16,4,16,"Desert"
72,16,5,17,"Druid Level_::_Circle Spells"
73,16,6,18,"3rd_::_blur, silence"
74,16,6,19,"5th_::_create food and water, protection from energy"
75,16,6,20,"7th_::_blight, hallucinatory terrain"
76,16,6,21,"9th_::_insect plague, wall of stone"
77,16,4,22,"Forest"
78,16,5,23,"Druid Level_::_Circle Spells"
79,16,6,24,"3rd_::_barkskin, spider climb"
80,16,6,25,"5th_::_call lightning, plant growth"
81,16,6,26,"7th_::_divination, freedom of movement"
82,16,6,27,"9th_::_commune with nature, tree stride"
83,16,4,28,"Grassland"
84,16,5,29,"Druid Level_::_Circle Spells"
85,16,6,30,"3rd_::_invisibility, pass without trace"
86,16,6,31,"5th_::_daylight, haste"
87,16,6,32,"7th_::_divination, freedom of movement"
88,16,6,33,"9th_::_dream, insect plague"
89,16,4,34,"Mountain"
90,16,5,35,"Druid Level_::_Circle Spells"
91,16,6,36,"3rd_::_spider climb, spike growth"
92,16,6,37,"5th_::_lightning bolt, meld into stone"
93,16,6,38,"7th_::_stone shape, stoneskin"
94,16,6,39,"9th_::_passwall, wall of stone"
95,16,4,40,"Swamp"
96,16,5,41,"Druid Level_::_Circle Spells"
97,16,6,42,"3rd_::_acid arrow, darkness"
98,16,6,43,"5th_::_water walk, stinking cloud"
99,16,6,44,"7th_::_freedom of movement, locate creature"
100,16,6,45,"9th_::_insect plague, scrying"
101,17,2,0,"Land's Stride"
102,17,0,1,"Starting at 6th level, moving through nonmagical difficult terrain costs you no extra movement. You can also pass through nonmagical plants without being slowed by them and without taking damage from them if they have thorns, spines, or a similar hazard.#P#"
103,17,0,2,"In addition, you have advantage on saving throws against plants that are magically created or manipulated to impede movement, such those created by the entangle spell.#P#"
104,18,2,0,"Nature's Ward"
105,18,0,1,"When you reach 10th level, you can't be charmed or frightened by elementals or fey, and you are immune to poison and disease.#P#"
106,19,2,0,"Nature's Sanctuary"
107,19,0,1,"When you reach 14th level, creatures of the natural world sense your connection to nature and become hesitant to attack you. When a beast or plant creature attacks you, that creature must make a Wisdom saving throw against your druid spell save DC. On a failed save, the creature must choose a different target, or the attack automatically misses."
108,19,0,2,"On a successful save, the creature is immune to this effect for 24 hours.#P#"
109,19,0,3,"The creature is aware of this effect before it makes its attack against you.#P#"
